Estado,Percentual,Região,Estado,Percentual,Região,Estado,Percentual,Região
Alabama,86.3,S,Louisiana,74.6,S,Ohio,81.8,MW
Alaska,71.1,W,Maine,86.5,NE,Oklahoma,82.7,S
Arizona,75.7,W,Maryland,86.4,S,Oregon,72.0,W
Arkansas,86.9,S,Massachusetts,86.1,NE,Pennsylvania,85.5,NE
California,81.0,W,Michigan,78.6,MW,Rhode Island,80.8,NE
Colorado,77.3,W,Minnesota,81.2,MW,South Carolina,80.1,S
Connecticut,87.0,NE,Mississippi,77.6,S,South Dakota,82.7,MW
Delaware,87.0,S,Missouri,87.3,MW,Tennessee,87.2,S
Florida,76.1,S,Montana,85.4,W,Texas,88.3,S
Georgia,72.5,S,Nebraska,89.7,MW,Utah,83.9,W
Hawaii,81.8,W,Nevada,70.0,W,Vermont,87.8,NE
Idaho,77.3,W,New Hampshire,88.1,NE,Virginia,85.3,S
Illinois,86.0,MW,New Jersey,88.6,NE,Washington,78.2,W
Indiana,87.9,MW,New Mexico,68.5,W,West Virginia,84.5,S
Iowa,90.5,MW,New York,77.8,NE,Wisconsin,88.6,MW
Kansas,85.7,MW,North Carolina,83.9,S,Wyoming,78.6,W
Kentucky,87.5,S,North Dakota,87.2,MW,District of Columbia,61.4,S